GENDER	POVRTY	RACE	KINDER1	FMOTOR	GMOTOR	SCONTROL	INTERP	EXTERN	INTERN	GENERAL	MATH7	MOM_ED
1	2	4	1	6	7	4	4	1	1.25	38	1.13	8
1	2	1	1	6	5	3.75	3.6	1.4	1	37	2.15	6
2	2	1	1	8	8	3.5	3.8	1	1.5	37	2.09	6
2	2	1	1	4	6	3	3.4	1.2	1	36	1.8	6
2	2	1	1	7	8	3.5	3.6	1	1	34	1.61	9
1	2	1	1	8	8	3.5	3.6	1.2	2	34	1.66	8
1	2	1	1	7	7	3.75	3.75	1.2	1	46	1.74	9
1	2	1	1	6	7	2.75	2.5	2	1.75	29	1.96	6
2	2	1	1	7	5	4	4	1	1	30	1.29	6
2	2	1	1	7	4	4	4	1	1	36	1.82	6
1	2	1	1	5	7	3.67	2.6	1	1.75	35	1.88	9
2	2	1	1	8	5	4	3.6	1	1.25	31	1.72	8
2	2	1	1	7	7	4	3.8	1	1	24	1.25	8
2	2	1	1	4	5	4	3.6	1	1	33	0.94	7
1	2	1	1	4	3	3.75	2.8	1	1.25	19	1.96	3
2	2	3	1	8	8	3.75	3.8	1.2	1.5	26	1.59	6
2	2	1	1	5	8	3.5	3.2	1.2	1.25	25	2.15	5
2	2	1	1	6	8	3.25	2.4	1.6	3.25	17	1.31	2
1	2	1	1	8	8	3.25	2.8	1.2	2.5	12	1.4	2
1	2	1	1	4	4	3.5	3.2	1.8	1	23	2.01	6
1	2	1	1	6	7	3.5	2.6	1	1.75	20	1.47	5
2	2	1	1	6	6	3.5	2.8	1	1	26	2	3
1	2	1	1	6	7	3.5	2.8	1.2	1.25	28	1.58	8
1	2	1	1	7	8	3	2	1.2	2.5	26	2.41	7
2	2	1	1	5	8	3.5	2.25	1	1.75	23	0.85	5
1	2	1	1	7	8	3	2.25	1.6	1.25	23	1.98	5
1	2	1	1	8	5	2.5	2.4	2.4	1	36	1.73	3
2	2	1	1	7	7	3.25	3.2	1	2	28	1.62	5
2	2	1	1	6	8	3.25	3.4	1	1.5	26	2.07	6
1	2	1	1	7	8	3.25	3.2	1	1.25	29	1.76	3
2	2	2	1	8	8	3.25	3.8	1	1.25	29	2.29	8
1	2	1	1	6	6	3	3.4	1.6	1	33	2.22	6
1	2	1	1	6	8	3.25	2.6	1.4	1.75	29	1.78	6
1	2	1	1	7	6	3.25	3.2	1	1.5	24	1.57	3
1	2	1	1	7	6	2.25	2.4	2.4	1	30	2.06	5
1	2	1	1	4	6	3.25	3.8	1	1.75	32	1.66	3
1	2	1	1	8	7	2.25	3.2	1.8	1.25	24	2.05	6
2	2	1	1	6	7	3.5	3.6	1	1.75	36	1.92	6
1	2	1	1	5	8	3	3.2	2	1	31	1.92	6
1	2	1	1	8	8	4	3.6	1.2	1.25	43	2.02	9
1	2	1	1	4	7	4	4	1.2	1.25	29	1.66	6
2	2	1	1	7	7	3.67	3.75	1.2	1.75	35	1.94	6
2	2	1	1	8	8	4	4	1	1	35	1.83	6
2	2	1	1	8	8	4	4	1	1.25	31	1.55	5
1	2	1	1	6	8	2.75	2.5	2	2	38	2.13	5
1	2	4	1	9	8	2.75	3	2	1.25	33	2.55	6
2	2	1	1	6	8	2.25	2	2.4	1.67	30	2.26	6
1	2	1	1	9	7	1.75	2.2	3.2	2.5	32	2.03	6
1	2	1	1	7	7	2.5	2.8	2.2	1.33	23	2.41	9
2	2	1	1	1	1	2	1.4	1.75	3	11	1.37	5
2	2	3	1	4	6	3.25	3	1	1	19	1.06	6
2	2	1	1	6	6	3	3	1.2	2.5	19	1.16	5
